Ackerstraße;à Brassard;A.;jun.;Akademischer-Verein;Achilles'sche Erben;"""Iduna"" Versich. Gesellsch. a. G.";Angermeyer Gebr.;A. L. G. Referendar;Dr.;AAB2;(Ausland);-;Arbeiter
Ackerweg;Aaleben;A. G.;de;Architekten;Apel'sche Erben;Allgem. Konsumverein Halle a. d. S. u. Umg. e.G.m.b.H.;Baensch Gebr.;a. o. Prof. f. gerichtl. Mediz.;Dr. jur.;AAB2M;(Belleben);*;Bäcker
Adolfstr;Abderhalden;A. O.;du;Bankgesch.;Arndt'sche Erben;Altmärker-Verein;Beck Geschw.;Abbruchuntenehm.;Dr. math.;AB1;(Diemitz);[;Baron
Adolfstraße;Abel;A. S.;Freiherr von;Baugesch.;Arnold'sche Erben;"Askania „G. V.""";Bethmann Gebr.;Abbruchunternehm;Dr. med.;AB2a;(Eisdorf);];Becker
Adolf-von Harnack-Str;Abelang;A. W.;Graf von;Brauerei;Bachmann'sche Erben;Bäcker-Innung;Burkhardt Geschw.;Abbruchunternehm.;Dr. phiI.;AB2b;(Friedenau);BK;Bergmann
Adolf-von Harnack-Straße;Abele;A. Wilh.;Graf von der;Buchhdlg.;Baentsch'sche Erben;Baptisten-Gemeinde;Colsmann Gebr.;Abbruchunternehmer;Dr. rer. nat.;AB3a;(Groß-Engersen);E;Beutler
Adolf-von-Harnack-Str;Abeling;Abr.;junior;Bürstenfbrk.;Baumgart'sche Erben;Baugenossenschaft Germanenhaus G.m.b.H.;Döhrmann Geschw.;Abdecker;Prof. Dr.;AB3b;(Jena);E.;Böttcher
Adolf-von-Harnack-Straße;Abelmann;Abrah.;le;C. A. Hofbuchdruck.;Becker'sche Erben;Baugenossenschaft Salingerhaus E.G.m.b.H.;Eichler Geschw.;Abfuhr-Inst.-Ing.;;AB4;(Lehnin);Erdg.;Böttger
Advokatenstraße;Abels;Abraham;sen.;D. H. Bank- u. Wechselgesch.;Bennemann'sche Erben;Bauverein f. Kleinwohnungen E.G.m.b.H.;Fackenheim Gebr.;Ableser;;ABgM;(Leipzig);Fa;Brauer
Advokatenweg;Abelt;Achim;senior;Dampf-Sägewerk;Bernhardt'sche Erben;Beamten-Konsum-Verein E.G.m.b.H.;Franke Gebr.;Ablösungscommissar;;ABsM;(Muckro);Gh.;Brenner
Aeußere Delitzscher Straße;Abendroth;Ad.;v.;Dicker & Werneburg;Biedermann'sche Erben;Beamten-Wohnungs-Verein E.G.m.b.H.;Franz Gebr.;Abt. Vorst. d. Landw. Kammer;;ABV;(Münster i. W.);H;Buchbinder
Aeußere Merseburger Chaussee;Abert;Adalbert;v. d.;Druckerei;Billing'sche Erben;Berbet-Maschinenbau G.m.b.H.;Gebhardt Geschw.;Abt.-Vorsteher;;AD1;(Oels i. Schl.);Hg;Bürger
Alb.-Dehne-Str;Abesser;Adam;v.d.;E. V.;Bittner'sche Erben;Bertels Futterkuchen-Gesellschaft m. b. H.;Glaser Geschw.;Abteil. Chef;;AD2;(Prütz i. Meklbg.);I;Cantor
Alb.-Dehne-Straße;Abicht;Adam Friedrich;van;Eisengießerei;Blau'sche Erben;Börsenhaus G.m.b.H.;Hallupp Geschw.;Abteil.-Vorsteh;;AD3;(Spröda b. Delitzsch);II;Dessau
Albert Dehne-Straße;Abraham;Adelbert;van der;Emaillewr.;Bonstedt'sche Erben;"Braunkohlengrube Ver. ""Carl Ernst""";Hartmann Gebr.;Abteilungsleiter;;AE;(Staßfurt);III;Diener
Albert Schmidt-Straße;Abramowitz;Adelheid;vom;Fabrkt.;Booch'sche Erben;Büsscher& Hoffann m. b. H.;Hennig Geschw.;Abteilungsvorsteher;;AK;;IV;Drechsler
Albert-Dehne-Straße;Abramsohn;Adnold;von;Filiale Halle a. S.;Böttcher'sche Erben;Buttermilch & Co. E.G.m.b.H.;Hühn Geschw.;Abth. Baumeister;;BD1;;p;Dreher
Albert-Schmidt-Str;Abst;Adolf;von d. ;Fr. Holzhdlg.;Böttger'sche Erben;Caramel- u. Farbmalzfabrik Ges.m.b.Hftg.;Jüdel Geschw.;Ackerbesitzer;;BD2;;s;Drescher
Albert-Schmidt-Straße;Abt;Adolf Abraham;von der;Getreidehdl.;Brandt'sche Erben;Central-Genossenschaft z. Bezuge landw. Bedarfsart. E.G.m.b.H.;Keil Geschw.;Actuar;;BD3;;Sg;Färber
Albrecht-Dürer-Str;Achatz;Adolf Georg;zur;H. Bergius & Co.;Brecht'sche Erben;Christl. Gemeinschaft d. Landeskirche;Keller Gebr.;Actuar a. D.;;BDA1;;Tel.;Fischer
Albrecht-Dürer-Straße;Achelis;Adolp;;H. Ch. Kolonialwrhdlg.;Britting'sche Erben;Christl. Herberge z. Heimat;Koch Gebr.;Actuar a.D.;;BDA2;;Untg.;Fleischer
Albrechtstr;Achenbach;Adolpf;;Holzhdlg.;Bunge'sche Erben;Christl. Verein jung. Männer;Kohlig Geschw.;Actuarius;;BDA3;;V;Fleischhauer
Albrechtstraße;Achilles;Adolph;;Hospiz;Buschbeck'sche Erben;Cröllwitzer Act. Papierfabrik;Kohlmann Gebr.;Administrat.;;BHL1;;VI;Fuhrmann
Alte Leipziger Chaussee;Achtel;Adolph Heinrich;;in Liqu.;Büttner'sche Erben;David, Söhne A.-G.;Krukenberg Geschw.;Administrator;;BHL2a;;Zwg.;Gärtner
Alte Markt;Achtelstedter;aegilius;;J. H., Baumwollspinnerei;Cammerath'sche Erben;Deutsch-Amerikan. Werkzeugmaschinen Fabrik vorm. Gustav Krebs A. G.;Kühne Geschw.;Advocat a. D.;;BHL2b;;;Geiger
Alte Promenade;Achtelstetter;Agathon;;Kgl.;Close'sche Erben;Diakonissenhaus;Löwendahl Geschw.;Advocat a.D.;;BHL3a;;;Gerber
Alter Kanenaer Weg;Achtermann;Alb;;Kohlenhdlg.;Coqui'sche Erben;Dölauer Hartsteinfabrik G.m.b.H.;Luckau Gebr.;Agent;;BHL3b;;;Giesser
Alter Mark;Achtzehn;Alb.;;Korps;Danneberg'sche Erben;Einkaufsverein d. Kohlenhdl. e. G. m. b. H.;Mende Geschw.;Agent der Berl. Feuer-Versich.-Anstalt.;;BHL4a;;;Glaser
Alter Markt;Acke;Alb. Ferd.;;Landsmannschft.;Dettmar'sche Erben;Einkaufsverein d. Kolonialwrhdl. e. G. m. b. H.;Menzel Geschw.;Agent der Leipziger Mobiliar-Brandversicherungsgesellschaft;;BHL4b;;;Glasmaler
Am Bahnhof;Acker;Alb. Fr.;;Luxuspapierfbrk.;Drietchen'sche Erben;Elektro Chemische Fabrik;Michael Geschw.;Agenturen;;BJM;;;Glasner
Am Bahnhofe;Ackermann;Alban;;Maschinenfbrk.;Eckardt'sche Erben;Ernst G.m.b.H.;Müller Gebr.;Agenturleiter;;BK1;;;Graf
Am Bauhof;Adam;Albecht;;Mineralölfbrk.;Eckert'sche Erben;Erster Schreberverein Halle-Süd (E.V.);Nagel Gebr.;akad. Bildhauer;;BK2a;;;Gürtler
Am Bauhofe;Adamczewsky;Albert;;Modewr. Haus;Eder'sche Erben;Ev. Kirchengem. z. St. Bartholomaei;Rappsilber Geschw.;Akquisiteur;;BK2b;;;Hauptmann
Am Birkenwäldchen;Adami;Albert Franz;;O. Mühlenwerke;Ermisch'sche Erben;Ev. Kirchengem. z. St. Georgen;Rauchfuß Geschw.;Akt.;;BK3;;;Hausmann
Am breiten Pfuhl;Adams;Albin;;Preßhefefbrk.;F. Lüdecke'sche Erben;Ev. Kirchengem. z. St. Johannes;Rehse Geschw.;Aktuar;;BL1;;;Hofmeister
Am Donnersberg;Adamski;Albrecht;;Preuß. Lebens- u. Garant. Versich. Akt. Ges.;Faust'sche Erben;Ev. Kirchengem. z. St. Laurentii u. St. Stephanus;Reichmann Geschw.;Althändler;;BL2a;;;Jäger
Am Frankensplatz;Adelberg;Albrecht Rud.;;Samenhdlg.;Föhre'sche Erben;Ev. Kirchengem. z. St. Moritz;Rößler Gebr.;Althändlerin;;BL2b;;;Kämmerer
Am Galgenberg;Adelung;Alewin;;Schülbe, Reuter & Martin;Franke'sche Erben;Ev. Kirchengem. z. St. Paulus;Schramm Geschw.;Althändlr.;;BL3;;;Kantor
Am Geisttor;Aderhold;Alex;;Sekt. Halle;Frantz'sche Erben;Ev. Kirchengem. z. St. Ulrich;Schwab Gebrüder;Althdlrin.;;BL4;;;Kaufmann
Am grünen Feld;Adler;Alex.;;Sekt. IV.;Fritzsche'sche Erben;Ev. Kirchengem. Z. U. L. Frauen;Sernau Gebr.;Amtm.;;BLD1;;;Kellner
Am Güterbahnhof;Adlung;Alexander;;Spedit.;Funk'sche Erben;Ev.Kirchengem.z.St.Briccii;Sonntag Geschwister;Amtmann;;BLD2;;;Kleber
Am Hafen;Adolf;Alexandr;;Speiseölfbrk.;Glaser'sche Erben;Ev.ReformierteSchloß-u. Dom-Kirchen-gem.;Vogel Geschw.;Amtmann a. D.;;BLM;;;Knecht
Am Hospital;Adolph;Alexis;;Studentische Verbindung;Göhre'sche Erben;Evangelisch. Bund;Völkner Geschw.;Amtmännin;;BM;;;Koch
Am Kaulenberg;Adrian;Alexius Kurt;;Teefabrk.;Goldschmidt'sche Erben;Evangelisch. Vereinshaus-Verein;Ziege Gebr.;Amts Sekretär;;BM1;;;Köhler
